name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mexico city,2023-06-08,28.1,10.1,20.9,27.4,10.1,20.8,11.1,58.5,0.9,100,4.17,rain,0,0,32.4,14.2,273.4,1014.5,50.6,12.6,312.4,26.9,10,10,2023-06-08T05:57:35,2023-06-08T19:13:49,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,MMTO,MMMX,76675099999"
mexico city,2023-06-09,31.7,10.1,22.9,30,10.1,22.6,8.8,44.6,0,0,0,,0,0,37,17.8,356.8,1014.4,9.9,14.1,358.6,30.9,10,10,2023-06-09T05:57:38,2023-06-09T19:14:09,0.7,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMTO,MMMX"
mexico city,2023-06-10,30,16.5,23.4,28.2,16.5,23.1,7.8,39.8,0.107,100,8.33,rain,0,0,25.2,36.1,81.7,1016.1,34.1,14.4,352.6,30.3,10,10,2023-06-10T05:57:41,2023-06-10T19:14:29,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
mexico city,2023-06-11,31.4,12.1,22.4,29.5,12.1,22.1,11.4,54,18.4,100,12.5,rain,0,0,40.7,27.1,163,1011.5,36.3,10.7,333.5,29,10,10,2023-06-11T05:57:46,2023-06-11T19:14:48,0.77,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,76675099999,MMMX,MMTO"
mexico city,2023-06-12,30.9,10,23.3,28.9,10,22.9,8.6,43.8,0,0,0,,0,0,28.8,28.2,29.8,1012.3,18.9,12.6,356,30.8,10,10,2023-06-12T05:57:51,2023-06-12T19:15:07,0.81,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMTO,76675099999,MMMX"
mexico city,2023-06-13,31.9,9,22.7,29.6,8.5,22.1,4.1,33.3,0,0,0,,0,0,21.6,33.1,43.8,1014.1,1.4,14.1,370.9,32,10,10,2023-06-13T05:57:58,2023-06-13T19:15:25,0.84,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMSM,MMTO,MMMX,76675099999"
mexico city,2023-06-14,32.6,17.2,24.9,30.3,17.2,24.3,5,32.2,0,0,0,,0,0,44.6,35.3,28.9,1012.3,12.3,12.8,363.2,31.3,10,10,2023-06-14T05:58:05,2023-06-14T19:15:43,0.88,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX"
mexico city,2023-06-15,32.3,11.1,23.6,30.6,11.1,23.1,8.4,41.3,0,0,0,,0,0,24.5,20.4,125.8,1009.5,20.9,11.9,357.5,30.8,10,10,2023-06-15T05:58:13,2023-06-15T19:16:00,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX"
mexico city,2023-06-16,31.8,18.7,24.7,31,18.7,24.4,10.4,42.4,0.023,100,4.17,rain,0,0,40.7,25.9,124.1,1011.1,33.2,10.4,352.4,30.4,10,10,2023-06-16T05:58:22,2023-06-16T19:16:16,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
mexico city,2023-06-17,30.4,11.9,23.6,28.5,11.9,23.1,7.2,39,0,0,0,rain,0,0,21.6,21.6,138.6,1012.3,38.7,12.5,350.8,30.5,10,10,2023-06-17T05:58:32,2023-06-17T19:16:32,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMMX"
mexico city,2023-06-18,31.9,9,24.1,29.7,7.9,23.5,5.7,34.3,0,0,0,rain,0,0,28.8,20.1,83.7,1013.9,5.1,11.4,358,31,10,10,2023-06-18T05:58:42,2023-06-18T19:16:47,0.02,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMTO,MMMX,76675099999"
